[Mon May 28 10:22:16 GMT 2018] [DATA] dataset random sampling epoch 0
[Mon May 28 10:22:17 GMT 2018] [LOSS = 1.0][ACCURACY = 46.5938053479632 %]
[Mon May 28 10:22:36 GMT 2018] [LOSS = 0.5281188313134513][ACCURACY = 85.273661929241 %]
[Mon May 28 10:22:58 GMT 2018] [LOSS = 0.3979092551039122][ACCURACY = 88.42714588103158 %]
[Mon May 28 10:23:23 GMT 2018] [LOSS = 0.3310074226928005][ACCURACY = 89.51142597952395 %]
[Mon May 28 10:23:50 GMT 2018] [LOSS = 0.28293468448292036][ACCURACY = 90.76849971921034 %]
[Mon May 28 10:24:16 GMT 2018] [LOSS = 0.2615032707892099][ACCURACY = 91.2480020735237 %]
[Mon May 28 10:24:48 GMT 2018] [LOSS = 0.2541023016187198][ACCURACY = 91.19184414013564 %]
[Mon May 28 10:25:20 GMT 2018] [LOSS = 0.23964855257274661][ACCURACY = 91.844140135643 %]
[Mon May 28 10:25:53 GMT 2018] [LOSS = 0.22671913482478512][ACCURACY = 92.00829409477731 %]
[Mon May 28 10:26:30 GMT 2018] [LOSS = 0.22235106292411586][ACCURACY = 92.27180439759817 %]
[Mon May 28 10:27:09 GMT 2018] [LOSS = 0.21461784839248743][ACCURACY = 92.36684090025487 %]
[Mon May 28 10:27:49 GMT 2018] [LOSS = 0.21211089489976953][ACCURACY = 92.36684090025487 %]
[Mon May 28 10:28:29 GMT 2018] [LOSS = 0.2080636236689394][ACCURACY = 92.40571946952352 %]
